movies,genre,release_year_start,release_year_end,rating,one-line,director,stars,votes,runtime,gross_in_dollars
Blood Red Sky,Action,2021,2021,6.1,"
A woman with a mysterious illness is forced into action when a group of terrorists attempt to hijack a transatlantic overnight flight.",Peter Thorwarth,"Peri Baumeister, 
Carl Anton Koch, 
Alexander Scheer, 
Kais Setti
",21062,121.0,33320000.0
Masters of the Universe: Revelation,Animation,2021,Ongoing,5.0,"
The war for Eternia begins again in what may be the final battle between He-Man and Skeletor. A new animated series from writer-director Kevin Smith.",TBD,"Chris Wood, 
Sarah Michelle Gellar, 
Lena Headey, 
Mark Hamill
",17870,25.0,10715000.0
The Walking Dead,Drama,2010,2022,8.2,"
Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.",TBD,"Andrew Lincoln, 
Norman Reedus, 
Melissa McBride, 
Lauren Cohan
",885805,44.0,1360000.0
Rick and Morty,Animation,2013,Ongoing,9.2,"
An animated series that follows the exploits of a super scientist and his not-so-bright grandson.",TBD,"Justin Roiland, 
Chris Parnell, 
Spencer Grammer, 
Sarah Chalke
",414849,23.0,10715000.0
Army of Thieves,Action,2021,2021,6.0,"
A prequel, set before the events of Army of the Dead, which focuses on German safecracker Ludwig Dieter leading a group of aspiring thieves on a top secret heist during the early stages of the zombie apocalypse.",Matthias Schweighöfer,"Matthias Schweighöfer, 
Nathalie Emmanuel, 
Ruby O. Fee, 
Stuart Martin
",6036,97.0,33320000.0
Outer Banks,Action,2020,Ongoing,7.6,"
A group of teenagers from the wrong side of the tracks stumble upon a treasure map that unearths a long buried secret.",TBD,"Chase Stokes, 
Madelyn Cline, 
Madison Bailey, 
Jonathan Daviss
",25858,50.0,33320000.0
The Last Letter from Your Lover,Drama,2021,2021,6.8,"
A pair of interwoven stories set in the past and present follow an ambitious journalist determined to solve the mystery of a forbidden love affair at the center of a trove of secret love letters from 1965.",Augustine Frizzell,"Shailene Woodley, 
Joe Alwyn, 
Wendy Nottingham, 
Felicity Jones
",5283,110.0,1360000.0
Dexter,Crime,2006,2013,8.6,"
By day, mild-mannered Dexter is a blood-spatter analyst for the Miami police. But at night, he is a serial killer who only targets other murderers.",TBD,"Michael C. Hall, 
Jennifer Carpenter, 
David Zayas, 
James Remar
",665387,53.0,675000.0
Never Have I Ever,Comedy,2020,Ongoing,7.9,"
The complicated life of a modern-day first generation Indian American teenage girl, inspired by Mindy Kaling's own childhood.",TBD,"Maitreyi Ramakrishnan, 
Poorna Jagannathan, 
Darren Barnet, 
John McEnroe
",34530,30.0,855000.0
Virgin River,Drama,2019,Ongoing,7.4,"
Seeking a fresh start, nurse practitioner Melinda Monroe moves from Los Angeles to a remote Northern California town and is surprised by what and who she finds.",TBD,"Alexandra Breckenridge, 
Martin Henderson, 
Colin Lawrence, 
Tim Matheson
",27279,44.0,1360000.0
Gunpowder Milkshake,Action,2021,2021,6.0,"
Three generations of women fight back against those who could take everything from them.",Navot Papushado,"Karen Gillan, 
Lena Headey, 
Carla Gugino, 
Michelle Yeoh
",17989,114.0,33320000.0
Lucifer,Crime,2016,2021,8.1,"
Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.",TBD,"Tom Ellis, 
Lesley-Ann Brandt, 
Lauren German, 
D.B. Woodside
",264222,42.0,675000.0
Fear Street: 1994,Drama,2021,2021,6.2,"
A circle of teenage friends accidentally encounter the ancient evil responsible for a series of brutal murders that have plagued their town for over 300 years. Welcome to Shadyside.",Leigh Janiak,"Kiana Madeira, 
Olivia Scott Welch, 
Benjamin Flores Jr., 
Julia Rehwald
",50148,107.0,1360000.0
Sex/Life,Comedy,2021,Ongoing,5.4,"
A suburban mother of two takes a fantasy-charged trip down memory lane that sets her very married present on a collision course with her wild-child past.",TBD,"Sarah Shahi, 
Mike Vogel, 
Adam Demos, 
Margaret Odette
",12172,77.0,855000.0
American Horror Story,Drama,2011,Ongoing,8.0,"
An anthology series centering on different characters and locations, including a house with a murderous past, an insane asylum, a witch coven, a freak show circus, a haunted hotel, a possessed farmhouse, a cult, the apocalypse, and a slasher summer camp.",TBD,"Lady Gaga, 
Kathy Bates, 
Angela Bassett, 
Sarah Paulson
",286488,60.0,1360000.0
Grey's Anatomy,Drama,2005,Ongoing,7.5,"
A drama centered on the personal and professional lives of five surgical interns and their supervisors.",TBD,"Ellen Pompeo, 
Chandra Wilson, 
James Pickens Jr., 
Justin Chambers
",266258,41.0,1360000.0
Breaking Bad,Crime,2008,2013,9.4,"
A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.",TBD,"Bryan Cranston, 
Aaron Paul, 
Anna Gunn, 
Betsy Brandt
",1552311,49.0,675000.0
The Good Doctor,Drama,2017,Ongoing,8.1,"
Shaun Murphy, a young surgeon with autism and Savant syndrome, is recruited into the surgical unit of a prestigious hospital.",TBD,"Freddie Highmore, 
Hill Harper, 
Richard Schiff, 
Antonia Thomas
",70871,41.0,1360000.0
Atypical,Comedy,2017,2021,8.3,"
Sam, an 18-year-old on the autism spectrum, decides it's time to find a girlfriend, a journey that sets Sam's mom on her own life-changing path as her son seeks more independence.",TBD,"Jennifer Jason Leigh, 
Keir Gilchrist, 
Brigette Lundy-Paine, 
Michael Rapaport
",71544,30.0,855000.0
Stranger Things,Drama,2016,Ongoing,8.7,"
When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.",TBD,"Millie Bobby Brown, 
Finn Wolfhard, 
Winona Ryder, 
David Harbour
",885856,51.0,1360000.0
Fear Street: 1978,Drama,2021,2021,6.8,"
Shadyside, 1978. School's out for summer and the activities at Camp Nightwing are about to begin. But when another Shadysider is possessed with the urge to kill, the fun in the sun becomes a gruesome fight for survival.",Leigh Janiak,"Sadie Sink, 
Emily Rudd, 
Ryan Simpkins, 
McCabe Slye
",36634,109.0,1360000.0
Friends,Comedy,1994,2004,8.9,"
Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.",TBD,"Jennifer Aniston, 
Courteney Cox, 
Lisa Kudrow, 
Matt LeBlanc
",880918,22.0,855000.0
The Flash,Action,2014,Ongoing,7.6,"
After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the next Flash, fighting crime in Central City.",TBD,"Grant Gustin, 
Candice Patton, 
Danielle Panabaker, 
Carlos Valdes
",320264,43.0,33320000.0
Peaky Blinders,Crime,2013,Ongoing,8.8,"
A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.",TBD,"Cillian Murphy, 
Paul Anderson, 
Helen McCrory, 
Sophie Rundle
",393414,60.0,675000.0
He-Man and the Masters of the Universe,Animation,2021,Ongoing,7.0,"
Eternia's Prince Adam discovers the power of Grayskull and transforms into He-Man, Master of the Universe. A reimagining of the classic animated series.",TBD,TBD,916,24.0,10715000.0
